,text,label
0,arya s nair athile karthikayude charctr bisexual ayirikkum ,Non_hope_speech
1,വാങ്ങിയത് എന്ത് കുന്തം ആയാലും കളയാൻ പറ്റില്ലല്ലോ ഇനി വാങ്ങാതിരിക്കാൻ ശ്രദ്ധിക്കുക jai india ,Non_hope_speech
2,മാറുമറയ്ക്കാൻ നടത്തിയ സമരം ഒരു previlege issue ആയിരുന്നുഅത് ഈ വിഷയവുമായി കമ്പയർ ചെയ്യാൻ പറ്റില്ലതാങ്കൾ പറഞ്ഞത് തെറ്റാണ്സാധാരണ വേഷം അണിഞ്ഞാൽ പോലും നോക്കി കൊല്ലുന്ന നാട്ടുകാർ ഉള്ളയിടത്തു ഫെമിനിസത്തിന് വസ്ത്രത്തെക്കുറിച്ചു സംസാരിക്കേണ്ടി തന്നെ വരും ,Hope_speech
3,ഇഷാനെ കൂടുതല് കെട്ടിപിടിക്കേണ്ട ഞങ്ങൾക്കറിയാം ഇഷാന് സൂര്യയോട് ഇച്ചിരി കൊഞ്ചൽ കൂടുതലാണെന്ന് ,Non_hope_speech
4,ഇന്ത്യ ഇസ്‌ലാമിക രാജ്യമല്ല ഇന്ത്യൻ ഭരണഘടന മാത്രമേ ഇന്ത്യൻ പൗരന്മാർ നോക്കേണ്ടതുളൂ ഇന്ത്യൻ നിയമ പ്രകാരം പ്രായപൂർത്തിയായ രണ്ടുപേർക്ക് പരസ്പരം സമ്മതത്തോടെ ഒന്നിച്ചു കഴിയാൻ ഒരു തടസവും ഇല്ല ,Hope_speech
5,xenderin pakaram okke entha ubayokhikkuka ,Non_hope_speech
6,ചൈനയുടെ കാര്യം അവര് നോക്കട്ടെ nഇന്ത്യയിൽ പെട്രോളിന് ദിവസവും വിലക്കുട്ടി കൊണ്ടിരിക്കുകയാണ് അതിനെതിരെ പ്രതികരിക്കാൻ നോക് ,Non_hope_speech
7,akhil dev സോറി ഇപ്പഴാ മനസിലായത് ,Non_hope_speech
8,നിങ്ങൾക് നല്ലത് വരും ,Hope_speech
9,ഇതിന്റയൊക്കെ റേറ്റിംഗ് കൊറക്കാൻ vellaa വഴിയുണ്ടോ ntick tock ne കിട്ടിയതുപോലെ ,Non_hope_speech
10,avare manasil rand pearkum purushanodaanu atracshan allaade avrod chodikarud ningalil aaraanu wifennu avare ullu manasilaakoo avar thiranjeduthad better ,Hope_speech
11,കട്ട വെയ്റ്റിംഗ് ഫോർ 1മില്യൺ ഹൃദയങ്ങളുമായി പുഞ്ചിരിക്കുന്ന മുഖം ,Non_hope_speech
12,ഒത്തുകളിക്ക് അഭിനന്ദനങ്ങൾ ആരെങ്കിലും പറയുമോ ,Non_hope_speech
13,s അവൻ താമസിച്ചപ്പോൾ ,Non_hope_speech
14,kevin enthinaaaa padichenvattan ,Non_hope_speech
15,ഹോമോ സാപിയൻ homosapiens bst ,Non_hope_speech
16,kevin കൂടുതൽ പഠിക്കാൻ ഉണ്ട്‌ ചിരിക്കുന്ന നിലയിൽ ഉരുളുന്നു ചിരിക്കുന്ന നിലയിൽ ഉരുളുന്നു ചിരിക്കുന്ന നിലയിൽ ഉരുളുന്നു ,Non_hope_speech
17,suryamma enne onnu help cheyyan pattumo aake budhimuttila kazhiyumenkil ende numberil onnu vilikko 9645309364 ,Non_hope_speech
18,ഒരുപാട് വിലപ്പെട്ട ഇൻഫർമേഷൻ ഡോക്ടറുടെ എല്ലാ വിഡിയോസും ഞങ്ങൾക്ക് എല്ലാവർക്കും വളരെയേറെ ഉപകാരപ്രദമാണ് നന്ദിയുണ്ട് ഇനിയും ഇത് പോലെയുള്ള വീഡിയോസ് പ്രതീക്ഷിക്കുന്നുn ഈശ്വരൻ അനുഗ്രഹിക്കട്ടെ ,Hope_speech
19,ലോകാവസാനം അടയാളം ഇതിനെ ഒക്കെ കാണുമ്പോൾ അതാ ഓർമ വരുന്നേ shame ,Non_hope_speech
