,text,label
0,realme india product ,notTamil
1,i also do not have tiktok hello and allnbut i am using xiaomi ,Hope
2,thalaivareneengale inum one plus mobile vachurukingaadha udachurunga ,NonHope
3,annee varanda thondai corona virus affect pannum neenga pathukonga pause koduth pasuga anne thondaya varanda vidadhinga ,Hope
4,5views but 18likes ,NonHope
5,china phone vakathiga inu evanga ellam tiktok la video poduravagal nchina phone vendam but china apps maittum use pannuvaga ,NonHope
6,cisco webex meetings bro ,NonHope
7,yaaru madan gowriyaa ban panrenu sonnaaru yaarukita solringa ,NonHope
8,sabaash semma aarambam ,NonHope
9,modiji group all no 1 proker group stupid guy ,NonHope
10,காற்றில் பரவும் வாய்ப்பு ,NonHope
11,ovara aatuna oru naal atanki utkarathan pokapothu china ,NonHope
12,mrssudha moorthy pathi pesungalen ,Hope
13,bro sony mobile pathi video potunga bro ,Hope
14,இருக்குற வேதனையில வேறவா வேறவா இறைவா ,NonHope
15,nan ethuvum use pannala ,NonHope
16,love you mg bye bye take care ,notTamil
17,wo ka bai ,NonHope
18,appo china kitta irukkiradhu sivappu panama ,NonHope
19,stop china mobiles ,NonHope
20,hi solluga bro ,Hope
21,ingatha namalum irukomnfirst war start aachuna srilanka namalatha adipa ,NonHope
22,நீங்க மக்கள செய்தி சொல்லி சாகடிப்ப அதுக்கு போதும் ,Hope
23,யப்பா போதும்யா கடந்த 6 மாசமா பொழுது விடிஞ்சு பொழுது போனா நோய் வருது வைரஸ் வருது இப்படியே கேட்டுக்கேட்டு அம்புட்டு பேரும் சைக்கோவா திரியிறோம் விட்டுடுங்கப்பா எங்களை முடிஞ்சா விழிப்புனர்வு வீடியோ போடுங்க இல்லன்னா வேற எதாவது மேட்டர் பேசுங்க கொஞ்ச நாளைக்கு கொரோனாவுக்கு லீவு கொடுங்கப்பா ,NonHope
24,சீனாஏன் வல்லரசுஇருக்குது அதோடஉற்பத்தித் துறைதான் காரணம் அதைவிட தலைசிறந்த பொருள்களைஇந்தியாவை உருவாக்க அதனால்சீனப் பொருளாதாரத்தைநம்மால் வீழ்த்த சீன பொருட்களை சீன செய்தி பயன்படுத்தாமல் பயனும் நம் நாட்டின்உற்பத்தித் துறையைஉலகத் தரத்திற்குஉருவாக்குவதுதான்இதற்குதகுந்ததுபல்லாயிரம் கோடி மக்கள் எங்கள்படித்தவர்கள் பலஅவர்களின் திறமையைஇங்கு உருவாக்கும் பொருட்களை உலகவிற்கலாம்அதனால்நாட்டின் பொருளாதாரம் உயரும்நாட்டு மக்கள் வாழ்வு உயரும்இதுதான் மிகச் சிறந்தவலி ,Hope
25,madan nee china ku support pantra maari thonuthunnnneenga ellam itha pathi theriyanum na nnsiddhu mohan nu oru you tube irukku athula detailed ah irukkum ,NonHope
26,background மொக்கையா irruku ,NonHope
27,mg squad ,notTamil
28,toilet paper ,notTamil
29,டேய் காத்துல பரவுதான்டா ,NonHope
30,seekram one plus 8 pro review potunga romba naal waiting nee review potta than mob vanga mutiyum bro ,NonHope
31,sago nalla message ,Hope
32,entha app um en mob la ila ,NonHope
33,indiaku china nekkathu bro america mistake pannidiga 953 ,Hope
34,yen mg kaga wait kooda panna mattangala ,Hope
35,best video you ever made ,Hope
36,i stopped seeing news ,notTamil
37,bro tamilnadu college semester pathi konjam sollunga semester nadakkuma nadakkathathinking face ,Hope
38,himadan please like ,Hope
39,bro uc turbo pathi video podunga issues pathi ,Hope
40,anna yo whatsappadd gp whatsappuse pannalamavendama ,NonHope
41,mudinja china va world la irunthu ban panirunga ,NonHope
42,anna fornite game use pnra mari yena yena phones iruku nu slunga na support pnra phone list plz bro ,Hope
43,china dhan next super power nu nostradamus predict pannaar la ,Hope
44,bro onga video pathutu en vitla nenga epudi niruthama pesuringa nu keka rangarolling on the floor laughing rolling on the floor laughing rolling on the floor laughing ,Hope
45,anna share it alternative app sollunganna ,NonHope
46,free fire enna bro ,NonHope
47,bro tik tok pathila tik kik irukku bro ,Hope
48,neenge sonnadhu apramavudhu ushar ayirundha rombo nalla irundhuku ippo india attack aychi fulla aychi rombo rombo kashtama iruku ippo irundhallu inimel avudhu care aydunu thank you ,Hope
49,voice not clear ,notTamil
50,chingari sarakku nalla sarakku ,NonHope
51,ithukum bodhidharmanukum enna similarity ,NonHope
52,annaa ungalukku li ziqi ya pidikumaa anaa ,NonHope
53,human beings ,Hope
54,indha wetv app kuda chinese app ahuninstall pannanuma ,NonHope
55,நம்ம ஊரு பழமொழி கேனப்பயல் நாட்ல கிறுக்குப்பய நாட்டாமை சூப்பர் ல ஜீ உணர்ச்சிவயப்பட்ட நிலையில் இந்தியா சீனா தவறாக ,Hope
56,இந்தியா தமிழீழத்தை அங்கிகரித்தால் இந்தியாமீது பக்தி காங்கிரஸ் நேரு குடும்பத்தை அடியோடு அழிக்க ,Hope
57,6 8 pm bro ,notTamil
58,you are a biggest loser ,notTamil
59,sir trronet app vera eruka ,Hope
60,spr ithan sariyana valli ,Hope
61,mg squad from sl ,Hope
62,oppo f11pro review podunga bro ,NonHope
63,kedi ku avalo scene lam illa avanuku china eppo appu vaika pogudho rolling on the floor laughing rolling on the floor laughing ,Hope
64,enta shareit thavira vera app ethum ila ,NonHope
65,all animals kudatha sapamm pro ,Hope
66,pubg ku badhil ah free fire try panlaamey bro ,Hope
67,நோய் தான வந்திடுது நண்பரே கண்ணுக்கு தெரிந்தால் நம்ம பயலுக கொன்னே போட்ருவாங்க ,NonHope
68,jenith music making j pannren yanakun panuga ,Hope
69,pubg is korean right ,NonHope
70,pubg chinese app illa ,NonHope
71,broo videos la super broosemaster news mattu sollunga brooosemaster iruka illaiya bro ,Hope
72,hi bro helo appku alternative sollunga ,NonHope
73,rx100 pathi pesuga bromg ,Hope
74,sir 800 pm ku upload pannu ga ,Hope
75,opera mini use pannalama ,NonHope
76,mg squad ,notTamil
77,hello everyone ellarum safe irunga ,Hope
78,hi madan gowri ,notTamil
79,keerthi dilli true i see get updates from madan anna only keep going anna ,notTamil
80,idhula dei pubg chinese app nu yaru da sonna venna ,NonHope
81,thaaivaaa neenga sonnathu tiktok we hats offf ,Hope
82,இதுக்கே ஆச்சரியபட்டா சீன புத்தாண்டு முடியவில்லை முடிவிற்கு பார்க்கலாம் உலகம் இதிலிருந்து மீண்டெழுமா ,Hope
83,puriyada pudir of war at corana period ,NonHope
84,6 pm bro ,notTamil
85,neenga sonna game en mobile luku support aagala en mobile oppo a5 2020 brother ,NonHope
86,600 illa bro 775 ,Hope
87,kalisee va kutinu vandhu dragons vachi savadichula ,NonHope
88,title grammar mistake ,notTamil
89,nice tik tok madiri jik jok create pannunga ig rolling on the floor laughing seekrammm rolling on the floor laughing chinaaa tholae thanga mudiyalae epaaaa ,NonHope
90,தரமான கருத்து bronnஉளவு பார்க்கும் app நீக்க வேண்டும்nnஆரம் media tamil ,NonHope
91,தமிழ் விஞ்ஞானிகள் bro என்னோட channeluku subscribe பண்ணுங்க please bro தமிழனுக்கு தமிழன் support பன்னாட எப்படி so pleasw subscribe panuinga bro ,Hope
92,puli varuthu kadhai ,Hope
93,anna africa oda ancient language tamil nu solluranga ,NonHope
94,bro besty camera use pannalama ,NonHope
95,eva yevanda komali palaiya news ah solitu erukka ,Hope
96,bro 8 of clock alarm clock podunga ,Hope
97,anna 8pm of 8 ,Hope
98,தல ஜாக்மா கடைய திறந்து இருகான் அரசியல் ,NonHope
99,nalla velakaranai dhanthirudan sollierukangalothinking face tamiltech ,NonHope
100,china kaaran maasa maasam padam release panra maari ,NonHope
101,vn editing app semmaaaa ,Hope
102,s sister ,Hope
103,mg squad ,notTamil
104,வணக்கம் நண்பர்களேnஉங்கள் ஆதரை தாருங்கள் ,Hope
105,நண்பாநம் வீடியோகளை பாருங்கஉங்களுக்கு பிடிக்கும்பிடித்தால் ஆதரவு தாருங்கள் friends50 subs அடைய உதவுங்கள் mg squad ,Hope
106,ipa varakum cm scanner tha use pannitu irunthannini malnadobe scanner use pannalam nu irukan ,Hope
107,thalaiva epo neenga intha save journalism pathi pesuvinga ,Hope
108,bro neegha sonna eantha app um en kitta ialla ,NonHope
109,unmaiya research la panni muliyama da varda unmaila indha virusku human to human transmission ilaya apadi andha newspaper la podaranga reporters nala conforma theriyuma bla bla bla ,Hope
110,உன்ன மாரி வேசி ஊடகம் இருந்தா எப்படி ஜெய்கமுடியும் ,NonHope
111,அற்பமான விஷயங்களுக்கு முக்கியத்துவம் கொடுக்கும் நம் மக்கள் ,NonHope
112,bro mx share iruke bro ,Hope
113,ஒன்று உண்மையை சொல் ,Hope
114,madan gowri kingcopra ,notTamil
115,annae exam update sollunga ,Hope
116,i am waiting ,Hope
117,ttk nsuper bro iam support t shirt super bronhello app tiktok bro ,Hope
118,freedom 251 ,NonHope
119,eppadi ithu vanthadu ,Hope
120,yedhavena sapdalamnu parakradhu ,NonHope
121,எதுக்கும் அச்ச கூடது உலகத்துல எவன் போர் வந்தாலும் எதிர்க்க தயாராக இந்தியன் செய் செத்து மடி அப்படி கொள்கை உள்ளம் களத்துல சந்திப்பம் ,Hope
122,madan oru chinese kai kulirolling on the floor laughing rolling on the floor laughing rolling on the floor laughing ,NonHope
123,கிடைக்கவில்லை ப்ரோ ,NonHope
124,mg squad from coimbatore bro partying face ,Hope
125,bro obara mini app ,notTamil
126,கனடாவிலும் இரண்டு பேருக்கு விட்டது ,NonHope
127,2020 முடிவதற்குள் எத்தனை நோய்கள் எத்தனை எதிரிகளை சந்திக்க வேண்டி ‌என தெரியவில்லை ,NonHope
128,adangapaaaaentha cmdylaaaseiipoi vijay tv laa anchors aa joint pannuu anthamathri vtiya ethachum vella paruu ,NonHope
129,அதுலாம் சரிஎல்லை ல பெரிய அளவில் பிரச்சினை இருக்குஇந்திய இறையாண்மை பாதுகாக்க வேண்டும்nசீனா apps uninstalled பண்ணுனா ஒன்னும் ஆகாது னு எப்டி சொல்லலாம் of course சீனா போன் நெறய use இருக்குகொஞ்ச கொஞ்சமா மாற முடியும்long term la கிழிக்கனும் னு சொல்றapps ல ஆரமிக்குறோம் ,NonHope
130,matram ondre marathathu evalavu days ku america top ah erukum epo ellanalum enaikavathu oru nal america down agum ,NonHope
131,ithai than srilanka um pannum ungalukku ,NonHope
132,இனிய பிறந்த நாள் வாழ்த்துக்கள் ,Hope
133,tik tok speech ,notTamil
134,ganesh rj adhu china app illa bro ,NonHope
135,today dhoni days ,NonHope
136,tik tok ஒளிஞ்சது ஒளிஞதாவே இருக்கட்டும் மது பழக்கத்துக்கு அடிமையானவர்க ளை tik tok கு அடிமையானவர்கள் அதிகமாக உள்ளனர் ,Hope
137,bro viva video alter native app power direct app indian app ,Hope
138,bro gandam naa ,NonHope
139,anna jeyaraj and bennix avangala pathi marupadium oru video podunga ,NonHope
140,yellarum kidney readya vecchikonga ,Hope
141,that is mg ,notTamil
142,ovvorolling on the floor laughing rolling on the floor laughing rolling on the floor laughing ndai pppa ne vra level da sirippu thaangala ,NonHope
143,இந்தியாவை ராணுவத்தில் சீனா கூடுதல் பலம் பெற்றிருக்கிறது தெரிகிறது ஆனாலும் போர் வந்தால் இந்தியா ராணுவத்திற்கு மோடி ,NonHope
144,உங்கள் சுதந்திரத்தை பறிக்க வழி நேரத்தில் உங்களை வேண்டுமானலும் செய்யலாம் கொரானவதும் மயிராவதும் ,NonHope
145,hi sabitha thugaliyaa ,Hope
146,bro apk mod apps da install pannurathu safe pa ,Hope
147,bro b612 app use pannalama andn snaptube app use pannala manand facebook ,NonHope
148,இந்தியா சீனாவை வென்று நம் நாட்டின் பரப்பளவை அதிகரிக்க போகிரது ,Hope
149,630 pm ok bro nermal ,notTamil
150,1967 por patri sollavillai ,NonHope
151,i can not uninstall pubg ,NonHope
152,நீங்க சொன்ன ஆப்லாம் இதுவரை பயன்படுத்தியதே இல்லை வாழ்நாளில் 90 இந்திய பொருட்களை பயன்படுத்துகிறேன் ,NonHope
153,mudalla ithai pesaratha niruthittu gujarat big businees man china vil vaitirukkum business tie up cancel pannaratha patri pesu ,Hope
154,vaayai moodi pesavum padam mari dha pannanum ,NonHope
155,varnajalam mini crafts aama akka ,NonHope
156,ennapa itha virus thola thanga mudiyala ,NonHope
157,may be irukalem ,NonHope
158,china kaaran நம்ம்மை hack பன்னிருவன் டு நம்ம இத தடை செய்ய வேண்டாம் மாரி கொடிய சைத்தான் கள்கிட்ட மக்கள காப்பாத்த ணும்னு தடை செய்யணும் ,NonHope
159,anna pls do madurai home vlog ,Hope
160,bro one plus 7 pro book panniyachu enna pannuven reply pannuga ,Hope
161,இதுக்கு நம்ம அரசாங்கம் ஒத்துவருமா ஜி ,NonHope
162,na erukka bro ,Hope
163,சீனாதான் வெல்வான் ஈழத்தமிழனை இந்தியா முதுகில் குத்தியநாடு இந்தியா அழிந்தால் மிக்கசந்தோசம் ,NonHope
164,same concept ah again and again pesura mathiri iruku ,NonHope
165,நாட்டுக்கு எமன் இந்தியன் தாண்டி மவனே டேய் இது1962இல்ல 2020 மக்கள் அனைவரும் கூடி வர கூடிய இந்தியா ஓடிரு ,Hope
166,neeanga eppa video pootalum naan paaka redy bro you r my inspiration person bro enaku theriyadha nerya vishyathaa unga video la paathu lern pandraaan puringkaa enaku useful ha iracku thank you brow ,Hope
167,புலி பதுங்குவது பாய்வதற்கு ,Hope
168,bro soon we will win entire world ,NonHope
169,alternative options ella bro mobileku nchines mobile cheep and besta eruku nsamsung vangalamnu patha price athikama eruku ,Hope
170,ama bro pannalam ,Hope
171,8 pm kulla video upload panunga anna ,Hope
172,apdiye nengalum china mobile review panratha korachukonga bro ,NonHope
173,பாம்புல வெசந்தா விசமி இல்லை நன்பா ,Hope
174,helo appku matru ena app iruku bro whatsapp status ku use agura mari ,Hope
175,first viewnfirst view ,NonHope
176,apdina corona tholai mudinjuruma bro ,Hope
177,dai micromax ellathukkum ne dhan karanama ,NonHope
178,neenga konjam porumaya sollungha bcz next next nu sollu pothu previous maranthuduthu so pls ,Hope
179,நண்பா நம்ம வீடியோவும் பாருங்க கண்டிப்பா பிடிக்கும் பிடித்தால் support பண்ணுங்க ,Hope
180,இஸ்லாம் மார்க்கத்தில் உணவில் ஹலால் ஹராம் குர்ஆனிலும் ஸுன்னாவிலும் கூறப்பட்டுள்ளது ,NonHope
181,dei chappa mooka tha onakku avlotha limit uh ,NonHope
182,vaedikka parkka vendithan ,NonHope
183,அப்துல் கலாம் ஏவு கணை வச்சு எத்தனை பே ரை முடியும் பைசா பணம் டப்பு பொரு லாதாரம் வேணும் அம்பானிட்டயும் அதாணிட்டயும் கஜானாவை காலி பண்ணி கொடுத்தா ச்சே செய்ய முடியும் வாயால வடை சுட முடியும் ,Hope
184,zoom app google meet irrukku bro ,Hope
185,anna appo apple mobile ,Hope
186,brosiddha medicine pathi oru video podungamg ,Hope
187,bro negga pesama news channel aha mariruinga ,NonHope
188,anna oru liku pls ,Hope
189,haha f4 korean drama ,Hope
190,i am using nothing in tat ,Hope
191,parava illiya uncle nibba phn chip pathi lam pesuraru neengalam fb la poi nice boobs nu comment mattum than pannuveenga nu nenachen ,NonHope
192,kinemaster vida viva video periya app ahh ,NonHope
193,mg squad chennai ,notTamil
194,bro nega chain podu ga youll look rugedet ,Hope
195,plz god save china ,notTamil
196,helo app alternative podunga bro ,Hope
197,china kaare summave irukka maatran ,NonHope
198,bro new medicine enamo kandu pudichi irukanga nu sonaga hyderabad la atha pathi solunga bro ,Hope
199,oru 7 pm ku ok na video podalam bro ok ila na vena ,Hope
200,vera level bro neega ,Hope
201,aiyoo bayama iruke ,NonHope
202,bro ambani nenaicha jio phone update pannlama bro because avanga kitta neriya investment vanthu irruku bro sollunga bro ,NonHope
203,oru manusan uyira kuduthu video poduran neenga innum pubg vilayaadureengala ,NonHope
204,bro status எடுக்க சிறந்த app எது ,NonHope
205,tik tak matum uninstall remove panuna pothu ,NonHope
206,bro one mistake ,notTamil
207,podi aatitu vandhuta ,NonHope
208,appo infinix bro ,NonHope
209,7 nukku mala pota correct ta irukkum ,Hope
210,china karan paakurathelam thimbanunga pola ,NonHope
211,bro neega yapavena post pannuga nagapapom aana 8 clock best ,Hope
212,ithula irunthu yena theriyuthunachina vanthu coronavukku medicine kandupuduchuyella country um alaya vidaporanga ,Hope
213,chingaari work aaga maattudhu bro ,NonHope
214,bro yanakku shareit varuthu ,Hope
215,ennuma china soldradha nambhitu erukinga thinking face ,Hope
216,vegetarian is safe ,notTamil
217,நாங்க இருக்கிறோம் வாய பொத்து டிக் டாக் இல்லாம செத்துடுவியா ,NonHope
218,bro sae baja pathi oru video podunga bro ,NonHope
219,anna samsung m31 full review panunga pls ,NonHope
220,hi bro ,notTamil
221,en mobile safe ,Hope
222,அதற்காக தேவை இல்லாத உணவுகளை உண்ண கூடாது கூறுவார்கள் இப்போ பார்த்தீர்களா நிகழ்ந்தது நாடு நாடு கண்டம் கண்டம் குறி வச்சு தாக்குது corona வைரஸ் so sad ,Hope
223,naan la namba ooru shop la thaa vaangurannn ,NonHope
224,robert b weide ,NonHope
225,muthu sakthivel vanthutan kora solla na rendume channel paape unaku pidikalana paakathe ,Hope
226,om sai ram nchannel ,Hope
227,mg marupadium first la iruntha namma valkai etha nokki poidu irukkunu therila yethinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face ,Hope
228,manobala manobala ,Hope
229,சைனிஸ் தயாரிப்பு இல்லாத போன் எதுவும் இல்லை அப்படி ரோசம் அதிகமாக இருந்தால் ஒவ்வொருத்தரும் ஃபோனை தூக்கி எறியுங்கள்எதுக்கு நமக்கு மானம் ரோசம் ,NonHope
230,madan thambi 8 pm ,Hope
231,appa nama develop agaram ,NonHope
232,கண்டிப்பாக இல்லாமல் இருக்க முடியும் கூடயேவா பிறந்தோம் அதுக்கு நிகராக நம்ம நாட்டில் உருவாக்கி பயன் படுத்தலாம் ,Hope
233,மொதல்ல இந்தியால கருப்பு பணத்த எடுக்கணும் ,Hope
234,1st view anna ,Hope
235,thank you anna ,Hope
236,என்னதான சீன ஆப்பை டெலிட் செய்தாலும் ,Hope
237,இலங்கையையும் பாதிக்கும்நம்மை அல்ல ,Hope
238,koncham slow aa solluka sathiyama vilankala ,NonHope
239,mg squad hugging face ,notTamil
240,haha ha relax bro ,NonHope
241,love you mg ,Hope
242,plz neengalum general news madhiri information kudukadhinga ,Hope
243,jio jio jio ,notTamil
244,fortnite game சைனிஸ் கம்பனி பட்டனர்சிப் இருக்குன்னு சொல்றாங்க உண்மையாண்னு சொல்லுங்க ,NonHope
245,hii bro neenga gunda aagitinga ,Hope
246,thala i like ur opinion ,Hope
247,மக்களே சேனலுக்கு ஆதரவு கொடுங்கள் வீடியோவையும் பாருங்க முகத்தை அணைத்துக்கொள் முகத்தை அணைத்துக்கொள் பிடித்திருந்தால் subscribe செய்துகொள்ளுங்கள் ,Hope
248,pls talk abt jayashree ,Hope
249,innaiku vdo varalanuone year old pablo escobar video paaka vendiyatha pochudaily oru story ketu ketu palahi pochu ,NonHope
250,அப்டினா first tiktok uninstall pannanum avanga ,NonHope
251,dai pannada oru visaytha enda oothe perusakura ,NonHope
252,pakistan be like ,notTamil
253,america side tha poganum ,Hope
254,epudi namaku antha virus vanthiruchunu find panurathu anna ,Hope
255,you did a mistake in 9 ,NonHope
256,yeah bro air la corona spread aagudu bcz kerala la air vandhu tomba kammi so avanga kattu paduthirkalam but rlla wdathalayum air adhigam so vaaipu iruku adunaala tha namma tamilnadu la adhigama paravudu nu nenaikuran bcz past 3 or 4 weeks romba bayangarama cases pogudu ,NonHope
257,anna pubg alternative game sonniga name clear ah kekala name sollu anna ,NonHope
258,free fire china illabro ,NonHope
259,8oclock video post pannunga nalla irukkum ,Hope
260,whatsapp aap சொல்லவே இல்ல ,NonHope
261,bro pubg ku alternative app free fire irukku bro ,Hope
262,bro pubg chinese app illai la bro ,NonHope
263,சைனா அமெரிக்கா பிஸ்னஸ் பார்க்கும் இந்தியா ரஷ்யா ஃப்ரீயா கொடுக்கும் ,Hope
264,830 ku video post pannunga bronnplease hit the like button ,Hope
265,gema pathi vidoe poduga bro ,NonHope
266,pupg ku alternative free fire ,Hope
267,bro video la supr solla va illa ,Hope
268,hi madan gowri none information friendnஇந்த நேரத்திலா நாட்டுமக்கள் நோய்யால் அவதியான நிலையில்nஇந்தியா நாட்டுக்காகவும் தமிழ்நாட்டுக்காகவும் தலைநகர் சென்னைகாகவும் போராட்டங்களும் தியாகத்தையும் செய்து தலைநகரை மீட்டுதந்த தலைவர்nதமிழக தந்தை சிலம்புச்செல்வர்nடாக்டர் ஜயா மபொசி அவர்களை வீடியோ பேசுங்கள் 26 ,NonHope
269,sub s pannunga ,Hope
270,இப்போ நீங்க பேசுறதே அமெரிக்கா youtube ல tan உலகத்துல அதிகமா யு tube ,NonHope
271,vilthave vilthathu namma aalugathan lancham ulalnu kolla adikuranvo avanuga porkappal pirangi athu ithunu vangi kumikuraga ,NonHope
272,nan epavum samsung tan pa ,NonHope
