,text,label
0,അതെ അണപൊട്ടി ഒഴുകുകയാണ് ,Non_hope_speech
1,കെവിൻ avde pettupoyirolling floor laughing rolling floor laughing rolling floor laughing ,Non_hope_speech
2,voice ullup illa daaa tayoli ath kond alle ninte ammaye njan panniyatha monee ,Non_hope_speech
3,albin baiju ,not-Malayalam
4,respect ,not-Malayalam
5,sreekesh mohanan ചെറിയ ശതമാനം ക്രിസ്ത്യൻ മുസ്ലിം ജാതി ഉണ്ട് എന്നു വച്ചു എല്ലാരും അല്ല ,Non_hope_speech
6,divya nandu ഇങ്ങ് വാ ഞാൻ ആക്കി തരാ ,Non_hope_speech
7,hari prasadv333 ഈ വിഷയത്തിൽ കരുണയുടെയും സഹാനുഭൂതിയുടെയും അടിസ്ഥാനത്തിൽ നമുക്കിവർക്ക് വേണ്ടി വാദിക്കുവാനും അനുകൂലിക്കുവാനുമൊക്കെ തോന്നും അത് സ്വാഭാവികംപക്ഷെ ഇതൊരു അവസ്ഥയാണെന്നതാണ് സത്യം ജൻമനാ കാഴ്ചശക്തിയില്ലാതെയും സംസാരശേഷി ഇല്ലാതെയുമൊക്കെ കുട്ടികൾ ജനിക്കുന്നില്ലെ അതുപോലെ മനസ്സിനെ ബാധിക്കുന്ന ഒരു തരം വൈകല്യമാണിത് ഇതിനെ ആരംഭത്തിൽ തന്നെ വേണ്ട പ്പെട്ടവർ തിരിച്ചറിഞ്ഞു കൃത്യമായ ഇടപെടലുകൾ നടത്തിയിരുന്നെങ്കിൽ അവർക്ക് ഇതുപോലെ അവിടെ വന്നിരിക്കേണ്ട അവസ്ഥ വരില്ലായിരുന്നു ,Non_hope_speech
8,mathew p നിനകും നിന്റെ കമന്റ് ന്നു like അടിച്ച ആ മലരുക്കൾകും എന്റെയും നല്ലവരായ എല്ലാ ഇന്ത്യൻക്കരുടെ നടുവിരൽ നമസ്കാരം മോനെ മതീസ്സ്‌ നീ വീട്ടിൽ ഇരുന്ന് അടിച്ചോ ,Non_hope_speech
9,ഇതിൽ വന്ന് കമന്റ് വായിക്കുന്നവരിൽ അധികവും പണ്ട് ഫയർ മാസികയെ സ്നേഹിച്ചവർ ആണ് ,Non_hope_speech
10,തീർച്ചയായും share ചെയ്യും dr care ,Hope_speech
11,angana parayalle broo ,Non_hope_speech
12,jagan tom ഹോർമോണിന്റെ പ്രശ്ന മുള്ളവർക്കും എതിർ ലിംഗത്തിനോട് ചെറിയ തരത്തിലെങ്കിലും ആകർഷണം തോന്നും അത് പരിചയത്തിലൂടെയും ശീലത്തിലൂടെയും വികസിപ്പിച്ചെടുക്കാം ,Non_hope_speech
13,aswathi priya hai ,Non_hope_speech
14,pubg ozhike ellaaam delete ആക്കി pubg കൊറിയൻ ആപ്പ് അല്ലെ ഉമയ്യപ്പാ ,Non_hope_speech
15,ഈ ജീവിതത്തിന് എന്ത് ഭാവിയാണുള്ളത് ,Non_hope_speech
16,നിങ്ങൾ ആ സമയത്ത് മാങ്ങക്ക് കല്ലെറിയാൻ poyorunoഞാൻ ഒരു ഓട്ടോ ഡ്രൈവർ anne ,Non_hope_speech
17,vyas deep ningal enthinod enthineyanu connect cheyyunnathuappol homosexuality sheriyanennano thankal parayunnathuningalude makano makalo angane aakumbozhe athinte bhudhimuttu thankalkku manassilavukayullooveruthe sangikal patayunnathu mathram kelkkathe islam enthanennu poi padichittu vannu tharkkikkoo mashee ,Non_hope_speech
18,sonu nikesh samsarikumbol end paavaannbut kevin paryunnadilum karym undammaye oru kunjin kitaathe povunnadaa kurav ndu kondum nikathaan patilla ,Non_hope_speech
19,evdeya eyale place ,Non_hope_speech
20,mrigha doctor ano ,Non_hope_speech
21,onn podaa sudappi vaaname ,Non_hope_speech
